day,error
0,0
1,0
2,0.35355132199374
3,-1.786165894414
4,0.73989120102194
5,1.91128498597234
6,-0.08070892218438
7,0.08123880778016
8,-3.81745961185742
9,0
10,0.30679963428522
11,-0.67830112209226
12,-0.1752495550939
13,0
14,0.34929881702032
15,0
16,-0.26126083969492
17,-0.59947444235392
18,0.0602293166267
19,-0.71400636633396
20,-0.38994543618836
21,1.91765106602364
22,0.07730606169774
23,-0.9135334366669
24,-2.1805481138394
25,-0.22979144616342
26,0
27,-1.1089845323962
28,-0.10876578799658
29,-0.27841773964582
30,0.25401251724384
31,-1.27460329283122
32,-1.01592063714994
33,1.33439536957468
34,-0.93637122829546
35,1.34682769229332
36,-0.50910937739916
37,-0.3910740995915
38,0
39,-0.0092960769482
40,0
41,-0.18749003339766
42,0.28285551970358
43,-1.0122450143395
44,0.02295913452948
45,0.03656165760142
46,-0.3424080967822
47,-0.15583676828256
48,0
49,-0.11831958397438
50,-0.16902683181368
51,0.24947264748418
52,0.77025664707314
53,0
54,0.1579336834233
55,-0.10905271600472
56,-0.02588855799872
57,0.73636346992034
58,0.74952274117942
59,1.03045748581658
60,-1.46509255526814
61,0.2490718899767
62,1.1171678110079
63,0.90135488196792
64,-2.19074107808116
65,1.50105165894336
66,1.971932001547
67,0.83986623398912
68,0.18048982704582
69,0
70,0.06423895714122
71,-0.46399584521366
72,-0.38052393333214
73,-0.06670183838168
74,0.50226259965354
75,-0.55146578906096
76,0.7668691736959
77,-1.38168867748726
78,0
79,-0.70675873514872
80,0.43371880271144
81,-0.13351785165984
82,-0.43417200464458
83,0
84,0
85,-0.1337250202388
86,-0.19705561749302
87,0
88,0.14009600571344
89,0.17003350323308
90,0
91,-0.15390590413664
92,0.6194745595073
93,0.9450466011665
94,0.50937118354644
95,0.1877522356802
96,-0.1663283883582
97,-0.29082135143384
98,0.8439413743892
99,0
